TiVA,Desci4,HS-2digit,HS-4digit,HS-6digit,EUC
D01T02,D01,01,0101,010121,CAP
D01T02,D01,01,0101,010129,INT
D01T02,D01,01,0101,010130,INT
D01T02,D01,01,0101,010190,INT
D01T02,D01,01,0102,010221,CAP
D01T02,D01,01,0102,010229,INT
D01T02,D01,01,0102,010231,CAP
D01T02,D01,01,0102,010239,INT
D01T02,D01,01,0102,010290,INT
D01T02,D01,01,0103,010310,CAP
D01T02,D01,01,0103,010391,INT
D01T02,D01,01,0103,010392,INT
D01T02,D01,01,0104,010410,INT
D01T02,D01,01,0104,010420,INT
D01T02,D01,01,0105,010511,INT
D01T02,D01,01,0105,010512,INT
D01T02,D01,01,0105,010513,INT
D01T02,D01,01,0105,010514,INT
D01T02,D01,01,0105,010515,INT
D01T02,D01,01,0105,010594,INT
D01T02,D01,01,0105,010599,INT
D01T02,D01,01,0106,010611,INT
D01T02,D01,01,0106,010612,INT
D01T02,D01,01,0106,010613,INT
D01T02,D01,01,0106,010614,INT
D01T02,D01,01,0106,010619,INT
D01T02,D01,01,0106,010631,INT
D01T02,D01,01,0106,010632,INT
D01T02,D01,01,0106,010633,INT
D01T02,D01,01,0106,010639,INT
D01T02,D01,01,0106,010641,INT
D01T02,D01,01,0106,010649,INT
D01T02,D01,01,0106,010690,INT
D01T02,D01,03,0307,030760,CONS
D01T02,D01,04,0401,040120,CONS
D01T02,D01,04,0401,040140,CONS
D01T02,D01,04,0401,040150,CONS
D01T02,D01,04,0407,040711,CONS
D01T02,D01,04,0407,040719,CONS
D01T02,D01,04,0407,040721,CONS
D01T02,D01,04,0407,040729,CONS
D01T02,D01,04,0407,040790,CONS
D01T02,D01,04,0409,040900,CONS
D01T02,D01,04,0410,041000,CONS
D01T02,D01,05,0511,051110,INT
D01T02,D01,05,0511,051199,INT
D01T02,D01,06,0601,060110,INT
D01T02,D01,06,0601,060120,INT
D01T02,D01,06,0602,060210,INT
D01T02,D01,06,0602,060220,INT
D01T02,D01,06,0602,060230,INT
D01T02,D01,06,0602,060240,INT
D01T02,D01,06,0602,060290,INT
