Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,1993,'280120000',105,,KG,0,200,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,210
2,1993,'280120000',210,,KG,0,16000,7142,0,0,0,0,0,0,0,16000,7142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280120000',409,,KG,0,99700,98069,0,10000,11560,0,3000,3756,0,3000,3343,0,2700,3121,0,18000,18817,0,0,0,0,12200,12729,0,5000,4519,0,41000,34762,0,0,0,0,0,0,0,4800,5462
2,1993,'280130000',143,,KG,0,4461250,757829,0,575160,100650,0,313560,54872,0,471920,82584,0,150550,26345,0,392510,68687,0,270710,47374,0,566580,93483,0,510450,84221,0,325280,53670,0,196090,32353,0,415330,68527,0,273110,45063
2,1993,'280130000',304,,KG,0,2629383,431507,0,193520,32613,0,204924,34494,0,272609,44715,0,231117,36097,0,183617,26598,0,252037,38175,0,198721,29733,0,151154,26329,0,233193,39736,0,264892,45426,0,213290,37379,0,230309,40212
2,1993,'280200000',103,,KG,0,499000,14797,0,34000,1224,0,34000,1224,0,34000,1156,0,102000,3264,0,34000,1088,0,51000,1377,0,51000,1377,0,51000,1377,0,51000,1173,0,0,0,0,51000,1173,0,6000,364
2,1993,'280200000',210,,KG,0,62289,20142,0,5240,1671,0,3936,1248,0,2634,833,0,12310,4104,0,0,0,0,2598,821,0,0,0,0,14177,4481,0,0,0,0,7206,2314,0,6441,1935,0,7747,2735
2,1993,'280200000',213,,KG,0,27500,2924,0,750,205,0,750,201,0,750,201,0,750,201,0,0,0,0,750,201,0,2250,603,0,10000,350,0,0,0,0,10750,761,0,0,0,0,750,201
2,1993,'280200000',304,,KG,0,3923,1246,0,0,0,0,3923,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280300000',103,,KG,0,6459655,414399,0,447300,34004,0,382530,28049,0,409380,30615,0,347960,25818,0,439080,30797,0,594240,34663,0,786620,46627,0,486300,29767,0,680725,41189,0,472640,29725,0,594810,34061,0,818070,49084
2,1993,'280300000',105,,KG,0,269399,39746,0,0,0,0,21000,3662,0,42680,6065,0,5000,788,0,21000,3150,0,13500,4360,0,35119,2608,0,26000,3745,0,36500,5055,0,11000,2033,0,15600,2948,0,42000,5332
2,1993,'280300000',106,,KG,0,541250,35342,0,64800,4653,0,42400,3030,0,56800,4030,0,10000,762,0,38800,2793,0,52400,3470,0,16000,996,0,69400,3985,0,42400,2715,0,34650,2215,0,42400,2515,0,71200,4178
2,1993,'280300000',108,,KG,0,44428,8437,0,0,0,0,0,0,0,0,0,0,0,0,0,9071,1442,0,0,0,0,18143,2780,0,0,0,0,0,0,0,0,0,0,9071,1397,0,8143,2818
2,1993,'280300000',111,,KG,0,3706500,192784,0,56000,3534,0,145500,9087,0,165000,9765,0,10000,638,0,60000,3301,0,270000,14668,0,90000,4953,0,90000,4834,0,220000,11530,0,850000,42412,0,710000,35295,0,1040000,52767
2,1993,'280300000',112,,KG,0,281300,86973,0,54000,17280,0,0,0,0,36000,11520,0,22000,6327,0,45000,14400,0,0,0,0,45000,14400,0,9000,2880,0,18000,5760,0,46000,12766,0,2000,264,0,4300,1376
2,1993,'280300000',113,,KG,0,18000,1794,0,0,0,0,6750,676,0,0,0,0,0,0,0,0,0,0,2750,269,0,0,0,0,0,0,0,0,0,0,0,0,0,5750,565,0,2750,284
2,1993,'280300000',117,,KG,0,218850,46173,0,13000,3095,0,13000,3095,0,26000,5865,0,13000,2795,0,26000,5494,0,13000,2622,0,0,0,0,38000,7561,0,19400,3855,0,6000,1202,0,25550,5243,0,25900,5346
2,1993,'280300000',157,,KG,0,12500,7165,0,0,0,0,0,0,0,0,0,0,12500,7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280300000',204,,KG,0,0,1922,0,0,1265,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280300000',205,,KG,0,40405,8058,0,0,0,0,0,0,0,5000,414,0,0,0,0,0,0,0,0,0,0,21280,2179,0,125,205,0,0,0,0,9000,4868,0,5000,392,0,0,0
2,1993,'280300000',208,,KG,0,241500,47312,0,82800,5470,0,0,0,0,27600,7564,0,20700,5877,0,13800,3646,0,6900,1823,0,6900,1823,0,13800,3782,0,27600,6959,0,6900,1705,0,6900,1705,0,27600,6958
2,1993,'280300000',210,,KG,0,483160,233487,0,25200,12303,0,48020,23222,0,47420,23077,0,29420,14130,0,49600,24090,0,31000,14860,0,41820,20313,0,29420,14127,0,48020,23229,0,60420,28972,0,41820,20245,0,31000,14919
2,1993,'280300000',213,,KG,0,1243209,597805,0,127943,59281,0,136640,57626,0,57452,36205,0,63732,34015,0,76013,54028,0,108178,43927,0,69540,36048,0,116840,46964,0,98087,29567,0,108440,61957,0,146022,73329,0,134322,64858
2,1993,'280300000',224,,KG,0,2160,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,289,0,0,0,0,0,0,0,0,0,0,1080,294,0,0,0
2,1993,'280300000',232,,KG,0,140,701,0,0,0,0,0,0,0,0,0,0,0,0,0,140,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280300000',245,,KG,0,3000,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2085,0,0,0,0,0,0,0,0,0
2,1993,'280300000',302,,KG,0,1720570,245865,0,161869,33019,0,97180,14620,0,282110,39000,0,67200,8886,0,138405,18378,0,139320,19851,0,161325,19537,0,92162,12671,0,181937,24395,0,54362,9425,0,205380,26818,0,139320,19265
2,1993,'280300000',304,,KG,0,8177221,1769056,0,1056720,248770,0,831829,222047,0,880477,147225,0,339405,64369,0,588327,116229,0,558359,134094,0,369529,77466,0,755556,176384,0,718539,140142,0,692897,135866,0,543206,107388,0,842377,199076
2,1993,'280300000',601,,KG,0,86970,13124,0,7520,1451,0,0,0,0,0,0,0,23250,3365,0,0,0,0,11500,1666,0,9200,1439,0,0,0,0,12000,1752,0,0,0,0,11500,1699,0,12000,1752
2,1993,'280410000',210,,KG,0,2,207,0,0,0,0,2,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280410000',302,,KG,0,8324,13820,0,1950,4064,0,0,0,0,0,0,0,0,0,0,1951,4041,0,0,0,0,0,0,0,2213,993,0,0,0,0,0,0,0,0,0,0,2210,4722
2,1993,'280421000',105,,KG,0,66180,3714,0,0,0,0,0,0,0,32200,1829,0,33980,1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280421000',304,,KG,0,114,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280421000',601,,KG,0,563490,30719,0,32450,1759,0,31950,1756,0,43650,2456,0,0,0,0,60110,3329,0,31800,1659,0,63500,3358,0,26050,1510,0,15850,819,0,59210,3158,0,139070,7662,0,59850,3253
2,1993,'280429100',111,,KG,0,128,16552,0,0,0,0,128,16552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280429100',210,,KG,0,7,755,0,0,0,0,2,205,0,0,0,0,2,211,0,0,0,0,3,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280429100',304,,KG,0,1514904,2752118,0,106211,202861,0,99774,195356,0,165848,317924,0,136278,246632,0,116621,215750,0,128338,227244,0,130467,230055,0,108390,189793,0,120019,213209,0,144310,249863,0,127566,226889,0,131082,236542
2,1993,'280429200',105,,KG,0,1529,19179,0,923,15063,0,0,0,0,0,0,0,0,0,0,250,1872,0,356,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,'280429200',207,,KG,0,3,8910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
