Exp or Imp,Year,Custom,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,1988,200,'010600900',105,,KG,0,1200,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'020721000',108,,KG,0,8024,1284,0,2006,321,0,2006,321,0,0,0,0,0,0,0,2006,321,0,0,0,0,2006,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030212000',103,,KG,0,31700,6324,0,31700,6324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030264000',135,,KG,0,216,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030269900',205,,KG,0,416,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,359,0,0,0,0,0,0
1,1988,200,'030269900',213,,KG,0,212,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,208,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030310000',103,,KG,0,16200,3061,0,0,0,0,16200,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030310000',111,,KG,0,50000,10956,0,0,0,0,0,0,0,50000,10956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030310000',112,,KG,0,260,445,0,0,0,0,0,0,0,0,0,0,0,0,0,147,233,0,0,0,0,0,0,0,0,0,0,0,0,0,113,212,0,0,0,0,0,0
1,1988,200,'030310000',210,,KG,0,16529,7060,0,16329,6829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,231,0,0,0,0,0,0
1,1988,200,'030331000',312,,KG,0,260,275,0,260,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030333000',620,,KG,0,307,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,465,0,0,0,0,0,0
1,1988,200,'030339000',103,,KG,0,615394,76910,0,40518,4817,0,176093,22090,0,0,0,0,159866,25600,0,193939,20307,0,44978,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030339000',304,,KG,0,817,879,0,289,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,654,0,0,0
1,1988,200,'030341000',111,,KG,0,73790,17514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73790,17514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030341000',113,,KG,0,20303,4822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20303,4822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030343000',111,,KG,0,3337042,408007,0,0,0,0,0,0,0,0,0,0,0,0,0,45480,6301,0,426910,56767,0,1308890,161156,0,543142,67161,0,828000,95897,0,115620,13645,0,69000,7080,0,0,0
1,1988,200,'030343000',113,,KG,0,227000,29284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,8871,0,46000,5907,0,112000,14506,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030343000',117,,KG,0,1588140,184757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462500,56182,0,768390,86894,0,357250,41681,0,0,0,0,0,0
1,1988,200,'030343000',143,,KG,0,140000,20621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,20621
1,1988,200,'030343000',304,,KG,0,899,844,0,0,0,0,0,0,0,0,0,0,899,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,200,'030349000',302,,KG,0,446,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,653,0,0,0,0,0,0
