aExp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2012,'840130000',210,  ,KG,0,374,809108,0,0,0,0,0,0,0,374,809108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2012,'840130000',304,  ,KG,0,48577,7087890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24316,3557495,0,24261,3530395,0,0,0,0,0,0,0,0,0
2,2012,'840140000',210,  ,KG,0,3260,174759,0,0,0,0,0,0,0,0,0,0,2000,15719,0,360,8706,0,240,7919,0,0,0,0,380,119587,0,0,0,0,0,0,0,220,12793,0,60,10035
2,2012,'840140000',213,  ,KG,0,783,52667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,52667,0,0,0,0,0,0,0,0,0
2,2012,'840140000',304,  ,KG,0,8251,146824,0,413,17246,0,651,7848,0,307,5684,0,259,6563,0,1163,25111,0,4825,62055,0,110,3563,0,0,0,0,249,7301,0,41,3347,0,31,2799,0,202,5307
2,2012,'840211000',203,NO,KG,1,3100,35832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3100,35832,0,0,0,0,0,0
2,2012,'840212000',103,NO,KG,4,428246,229044,0,0,0,1,857,959,1,881,962,1,805,956,0,0,0,0,0,0,0,0,0,1,425703,226167,0,0,0,0,0,0,0,0,0,0,0,0
2,2012,'840212000',105,NO,KG,61,1859467,848507,5,124200,36271,3,286381,168606,4,114800,38310,6,118800,29588,4,69130,46375,4,114500,35057,10,31456,7651,5,110100,44025,5,135200,42749,5,96600,23256,6,553630,343389,4,104670,33230
2,2012,'840212000',106,NO,KG,1,28956,6039,0,0,0,0,0,0,0,0,0,0,0,0,1,28956,6039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2012,'840212000',203,NO,KG,5,18660,173320,0,0,0,0,0,0,0,0,0,0,0,0,1,3000,32508,0,0,0,2,6740,71435,0,0,0,0,0,0,1,2920,27666,0,0,0,1,6000,41711
2,2012,'840212000',213,NO,KG,176,1958,10103,2,1478,7811,0,0,0,0,0,0,60,137,824,0,0,0,0,0,0,0,0,0,2,80,245,0,0,0,13,13,433,0,0,0,99,250,790
