wExp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2013,'840120000',304,  ,KG,0,1,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,320,0,0,0,0,0,0,0,0,0
2,2013,'840130000',210,  ,KG,0,13235,18513960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13235,18513960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,'840130000',304,  ,KG,0,40529,6176733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24313,3693274,0,16216,2483459,0,0,0
2,2013,'840140000',210,  ,KG,0,20,4590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,'840140000',213,  ,KG,0,1285,131002,0,689,68936,0,0,0,0,0,0,0,59,6690,0,0,0,0,0,0,0,0,0,0,537,55376,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,'840140000',304,  ,KG,0,3935,130192,0,857,23271,0,201,6061,0,33,1282,0,246,7817,0,205,8273,0,459,15405,0,76,3040,0,303,9924,0,354,16255,0,831,27047,0,166,5293,0,204,6524
2,2013,'840211000',103,NO,KG,3,1740398,803646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,860338,469449,0,0,0,1,880060,334197
2,2013,'840212000',103,NO,KG,1,600,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600,336,0,0,0,0,0,0
2,2013,'840212000',105,NO,KG,47,933150,309309,4,77200,20854,2,25000,7842,5,112100,31783,2,36600,11929,3,47250,16074,2,34400,11158,4,70100,22238,4,81800,25868,6,151300,47690,4,93100,29121,6,92400,48457,5,111900,36295
2,2013,'840212000',110,NO,KG,1,251541,214817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,251541,214817,0,0,0,0,0,0,0,0,0,0,0,0
