wwExp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2015,'860310000',103,NO,KG,2,260576,147317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260576,147317,0,0,0,0,0,0,0,0,0
2,2015,'860390000',111,NO,KG,18,2771,2017,0,0,0,0,0,0,0,0,0,0,0,0,18,2771,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860390000',410,NO,KG,14,428,885,14,428,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860400000',105,NO,KG,3,351415,226108,1,87950,41722,1,175515,141309,0,0,0,0,0,0,0,0,0,1,87950,43077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860400000',213,NO,KG,3,271921,1596756,0,0,0,0,0,0,0,0,0,2,145483,918289,1,126438,678467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860400000',215,NO,KG,4,100963,1187547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100963,1187547,0,0,0,0,0,0
2,2015,'860400000',220,NO,KG,7,236449,2640900,0,0,0,0,0,0,3,76740,893734,0,0,0,0,0,0,0,0,0,4,159709,1747166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860400000',225,NO,KG,25,1686957,9745997,3,153428,1052332,3,167955,1035377,1,65939,411683,0,0,0,4,196907,1240748,1,48226,345074,0,0,0,1,58297,295738,0,0,0,1,47485,336696,4,320603,1640228,7,628117,3388121
2,2015,'860500000',103,NO,KG,1,23070,14193,0,0,0,0,0,0,0,0,0,1,23070,14193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860610000',105,NO,KG,2,365820,470517,0,0,0,0,0,0,0,0,0,1,182623,176017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183197,294500
2,2015,'860692000',103,NO,KG,3,21600,9445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21600,9445,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860692000',105,NO,KG,2,82356,39712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82356,39712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,'860699000',103,NO,KG,15,50851,28393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18500,13591,1,22351,8728,3,5000,3037,3,5000,3037,0,0,0,0,0,0,0,0,0
2,2015,'860699000',105,NO,KG,18,523307,229503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39657,27184,0,0,0,2,135093,66197,11,110000,21562,0,0,0,1,124824,55260,3,113733,59300
