Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2016,'440110000',105,  ,MT,0,57,31413,0,0,0,0,2,2201,0,3,2609,0,12,7180,0,21,8849,0,16,9103,0,3,1180,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0
2,2016,'440110000',110,  ,MT,0,4,1003,0,0,0,0,0,0,0,4,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'440110000',111,  ,MT,0,50,9638,0,0,0,0,6,1455,0,6,849,0,3,542,0,9,1499,0,0,0,0,6,861,0,5,2071,0,6,823,0,4,538,0,0,0,0,5,1000
2,2016,'440110000',117,  ,MT,0,16,3554,0,0,0,0,3,767,0,0,0,0,0,0,0,8,1775,0,1,245,0,2,371,0,2,396,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'440110000',125,  ,MT,0,315,6935,0,0,0,0,0,0,0,0,0,0,0,0,0,315,6935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'440110000',222,  ,MT,0,45,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,892,0,0,0,0,0,0,0,24,1032,0,0,0
2,2016,'440110000',307,  ,MT,0,0,674,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'440121000',105,  ,MT,0,1020,84600,0,106,9306,0,100,8814,0,99,8596,0,114,9274,0,69,5411,0,147,11317,0,46,3747,0,45,3682,0,33,2526,0,141,12092,0,64,4817,0,56,5018
2,2016,'440121000',106,  ,MT,0,14,3849,0,0,0,0,4,1271,0,0,0,0,0,0,0,0,0,0,5,1289,0,0,0,0,0,0,0,0,0,0,5,1289,0,0,0,0,0,0
2,2016,'440121000',110,  ,MT,0,96,2732,0,12,379,0,0,0,0,12,361,0,12,352,0,12,331,0,0,0,0,12,317,0,12,316,0,0,0,0,12,322,0,0,0,0,12,354
2,2016,'440121000',125,  ,MT,0,3,537,0,0,0,0,0,0,0,0,0,0,0,0,0,3,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'440121000',207,  ,MT,0,146,12422,0,9,851,0,19,1655,0,14,895,0,11,1156,0,27,2029,0,19,1522,0,6,565,0,0,0,0,6,501,0,30,2370,0,5,878,0,0,0
2,2016,'440121000',210,  ,MT,0,165,22334,0,79,10710,0,26,4024,0,0,0,0,30,3851,0,30,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'440121000',213,  ,MT,0,34,2880,0,6,514,0,7,675,0,0,0,0,7,542,0,0,0,0,0,0,0,0,0,0,5,430,0,0,0,0,5,414,0,4,305,0,0,0
2,2016,'440121000',217,  ,MT,0,199,10043,0,17,1029,0,17,1047,0,0,0,0,47,2690,0,0,0,0,0,0,0,40,1580,0,15,702,0,12,659,0,51,2336,0,0,0,0,0,0
2,2016,'440121000',222,  ,MT,0,4,353,0,0,0,0,4,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,'440121000',224,  ,MT,0,33083,644883,0,3749,76224,0,1903,37298,0,4992,90396,0,2002,39268,0,2502,51905,0,923,18110,0,3027,59053,0,3930,80409,0,0,0,0,3408,65900,0,2939,56551,0,3708,69769
2,2016,'440121000',302,  ,MT,0,133292,3064845,0,25735,658155,0,9333,230781,0,18825,449989,0,26121,558735,0,0,0,0,10022,230055,0,0,0,0,5978,123742,0,0,0,0,24498,536943,0,6365,133398,0,6415,143047
2,2016,'440121000',304,  ,MT,0,659893,13739096,0,97548,2265880,0,30686,707021,0,20607,426789,0,90418,1944449,0,38121,831085,0,88607,1806039,0,20332,392733,0,34723,679921,0,81587,1523805,0,13559,267814,0,64463,1237299,0,79242,1656261
