Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2020,'060110010',207,  ,TH,0,67792,1945042,0,10551,266244,0,10647,309283,0,10508,281110,0,9622,251784,0,7313,227364,0,6919,237059,0,7142,226141,0,3053,92524,0,1408,42379,0,0,0,0,13,667,0,616,10487
2,2020,'060110010',210,  ,TH,0,7172,276776,0,428,11431,0,326,12652,0,806,31190,0,1960,76689,0,1674,62798,0,1442,61216,0,423,16783,0,91,3304,0,22,713,0,0,0,0,0,0,0,0,0
2,2020,'060110010',409,  ,TH,0,5459,235885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,30729,0,3063,137575,0,673,33045,0,959,34536
2,2020,'060110010',606,  ,TH,0,14504,551524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5503,208440,0,6137,238680,0,2864,104404,0,0,0
2,2020,'060110020',207,  ,TH,0,102934,1209396,0,1081,14569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3141,44666,0,32206,389275,0,38271,359846,0,10355,146133,0,11586,164069,0,6294,90838
2,2020,'060110020',606,  ,TH,0,1287,24170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,24170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060110090',105,  ,TH,0,437,12238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,5924,0,24,1185,0,36,1462,0,0,0,0,0,0,0,42,3667,0,0,0
2,2020,'060110090',106,  ,TH,0,2,261,0,2,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060110090',111,  ,TH,0,392,17042,0,70,2813,0,150,5654,0,94,4556,0,78,4019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060110090',118,  ,TH,0,86,774,0,86,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060110090',123,  ,TH,0,4928,20326,0,3901,15051,0,462,1589,0,515,2607,0,0,0,0,0,0,0,50,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060110090',124,  ,TH,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771
2,2020,'060110090',131,  ,TH,0,10,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,325,0,0,0
2,2020,'060110090',143,  ,TH,0,127,4661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1030,0,59,1935,0,8,541,0,5,253,0,25,902
2,2020,'060110090',207,  ,TH,0,73821,901339,0,8043,172156,0,15899,167582,0,2742,27692,0,297,8912,0,2182,13076,0,3323,41990,0,3596,33912,0,17778,146619,0,8223,85880,0,7377,75373,0,2895,87544,0,1466,40603
2,2020,'060110090',208,  ,TH,0,50,1856,0,0,0,0,50,1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060110090',213,  ,TH,0,0,5882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020,'060110090',220,  ,TH,0,60,7009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,60,6504,0,0,0,0,0,0
2,2020,'060110090',234,  ,TH,0,352,5379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,201,0,28,656,0,17,417,0,5,238,0,0,0,0,300,3867,0,0,0
2,2020,'060110090',304,  ,TH,0,177,17370,0,0,0,0,0,0,0,170,13934,0,7,1949,0,0,0,0,0,0,0,0,1161,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0
2,2020,'060110090',543,  ,TH,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,782,0,0,402,0,0,389,0,0,511,0,0,818
